tag,subsystem ,independent,measurement_type,description,data_type
B_P1,GAS PATH,,AMPLITUDE,Combustor dynamic pressure amplitude,float64
T5_S1,GAS PATH,YES,TEMPERATURE,Temperature spread (max T5 - min T5). Measured value. Should be same as C_C_T5_2,float64
T5_6,GAS PATH,,TEMPERATURE,Temperature at T5,float64
T5_5,GAS PATH,,TEMPERATURE,Temperature at T5,float64
T5_4,GAS PATH,,TEMPERATURE,Temperature at T5,float64
T5_3,GAS PATH,,TEMPERATURE,Temperature at T5,float64
T5_2,GAS PATH,,TEMPERATURE,Temperature at T5,float64
T5_1,GAS PATH,,TEMPERATURE,Temperature at T5,float64
C_C_T5_3,GAS PATH,,VECTOR MAGNITUDE,Vector magnitude (sum of T5s) ,float64
C_C_T5_2,GAS PATH,,TEMPERATURE SPREAD,Temperature spread (max T5 - min T5). Calculated value. Should be same as T5_S1,float64
C_C_T5_1,GAS PATH,,TEMPERATURE,Average temperature across T5 sensors,float64
F_C_POS_E2,FUEL,,ERROR  (%),Calculated value. Error (difference between commanded value and actual value of the position of the control valve),float64
F_CMD2,FUEL,,COMMAND (%),Command value. Generated by PLC. Corresponds to the size of valve opening ,float64
F_T1,FUEL,,TEMPERATURE,Temperature of gas,float64
F_POS1,FUEL,,POSITION (%),Position of the pilot valve. ,float64
F_P2,FUEL,,PRESSURE,Pressure of gas supply,float64
F_P1,FUEL,,PRESSURE,Pressure of gas,float64
F_C_POS_E1,FUEL,,ERROR(%),Calculated value. Error in position of valve. (Difference between command and position),float64
F_C_DP5,FUEL,,DIFFERENTIAL PRESSURE ,Calculated value. Change in pressure of gas,float64
F_C_DP2,FUEL,,DIFFERENTIAL PRESSURE ,Calculated value. Change in pressure of gas,float64
F_C_DP1,FUEL,,DIFFERENTIAL PRESSURE ,Calculated value. Change in pressure of gas,float64
F_CMD1,FUEL,,COMMAND (%),Command value. Generated by PLC. Corresponds to the size of valve opening ,float64
G_POW1,GENERATOR,,POWER FACTOR,Generator power factor,float64
G_PCT1,GENERATOR,,PERCENT ,Generator excitation percentage,float64
G_C_DT1,VIBRATION,,DIFFERENTIAL TEMPERATURE,Calculated value. Difference in temperature between generator driven end and lube oil header temperature,float64
G_C_DT2,VIBRATION,,DIFFERENTIAL TEMPERATURE,Calculated value. Difference in temperature between generator non-driven end and lube oil header temperature,float64
G_T1,GENERATOR,,TEMPERATURE,Generator driven end bearing temperature,float64
G_T2,GENERATOR,,TEMPERATURE,Generator non-driven end bearing temperature,float64
G_T3,GENERATOR,,TEMPERATURE,"Generator phase ""A"" winding temperature",float64
G_T4,GENERATOR,,TEMPERATURE,"Generator phase ""B"" winding temperature",float64
G_T5,GENERATOR,,TEMPERATURE,"Generator phase ""C"" winding temperature",float64
G_CUR1,GENERATOR,,CURRENT,Generator current,float64
G_CUR2,GENERATOR,,CURRENT,Average generator current,float64
G_CUR3,GENERATOR,,CURRENT,Generator current,float64
G_CUR4,GENERATOR,,CURRENT,Generator current,float64
LO_C_DP1,LUBE OIL SYSTEM,,DIFFERENTIAL PRESSURE ,Calculated value. Lube oil filter differential pressure normalized by lube oil header temperature,float64
LO_DP1,LUBE OIL SYSTEM,,DIFFERENTIAL PRESSURE ,Lube oil filter differential pressure,float64
LO_T9,LUBE OIL SYSTEM,,TEMPERATURE,Temperature of lube oil tank,float64
LO_T6,LUBE OIL SYSTEM,YES,TEMPERATURE,Lube oil header temperature,float64
LO_T5,LUBE OIL SYSTEM,,TEMPERATURE,Temperature of the GP thrust bearing,float64
LO_P1,LUBE OIL SYSTEM,YES,PRESSURE,Lube oil header pressure,float64
LO_C_BRG1,LUBE OIL SYSTEM,,TEMPERATURE,Calculated value. Normalized GP Thrust Bearing Temperature,float64
LO_C_DT5,LUBE OIL SYSTEM,,DIFFERENTIAL TEMPERATURE,Calculated value. Delta temperature. GP thrust bearing temperature - lube oil header temperature,float64
PE_C_DT1,ENCLOSURE,,DIFFERENTIAL TEMPERATURE,Calculated value. Differential air temperature of the package enclosure,float64
PE_T1,ENCLOSURE,,TEMPERATURE,Bleed valve leak detection temperature,float64
PE_POS1,GAS PATH,,POSITION (%),Position of inlet guide vanes,float64
PE_P1,PACKAGE EQUIPMENT,,PRESSURE,Pressure of air supply,float64
PE_FOR1,GAS PATH,,FORCE,Guide vane actuator force,float64
PE_C_POS_E1,GAS PATH,,ERROR (%),Calculated value. Error (difference between commanded value and actual value of the inlet guide vane position),float64
PE_CMD1,GAS PATH,,COMMAND (%),Command to the guide vane actuator,float64
PERF_POW,GENERATOR,YES,POWER,Engine power,float64
T5_A,GAS PATH,YES,TEMPERATURE,Average T5 temperature,float64
T1_1,GAS PATH,YES,TEMPERATURE,Temperature at T1,float64
SC_PCT2,GAS PATH??,,PERCENT ,Percent. Speed over overspeed measurement,float64
SC_PCT1,GAS PATH??,,PERCENT ,Percent. Change in overspeed measurement,float64
F_P7,FUEL,,PRESSURE,Pressure of gas at valve,float64
NT5,GAS PATH,,COUNT,Number of active T5 sensors. ,float64
C_DT5_6,GAS PATH,,DIFFERENTIAL TEMPERATURE,Calculated value. Difference in temperature between this t5 sensor reading and average t5 temperature,float64
C_DT5_5,GAS PATH,,DIFFERENTIAL TEMPERATURE,Calculated value. Difference in temperature between this t5 sensor reading and average t5 temperature,float64
C_DT5_4,GAS PATH,,DIFFERENTIAL TEMPERATURE,Calculated value. Difference in temperature between this t5 sensor reading and average t5 temperature,float64
C_DT5_3,GAS PATH,,DIFFERENTIAL TEMPERATURE,Calculated value. Difference in temperature between this t5 sensor reading and average t5 temperature,float64
C_DT5_2,GAS PATH,,DIFFERENTIAL TEMPERATURE,Calculated value. Difference in temperature between this t5 sensor reading and average t5 temperature,float64
C_DT5_1,GAS PATH,,DIFFERENTIAL TEMPERATURE,Calculated value. Difference in temperature between this t5 sensor reading and average t5 temperature,float64
SC_C_PCT_E1,GAS PATH??,,ERROR (%),Difference between actual speed and overspeed measurement values,float64
SUM_ENR,SUMMARY,YES,ENERGY,Cumulative energy generated. ,float64
TIMESTAMP,SUMMARY,YES,DATETIME,Timestamp. Should be treated as an index,object (datetime)
PCD,GAS PATH,YES,PRESSURE,Compressor discharge pressure,float64
NGP,GAS PATH,YES,SPEED,Speed of gas producer (%),float64
SUM_ENG_ST,SUMMARY,YES,COUNT,Number of engine starts,float64
SUM_ESN,SUMMARY,YES,STRING,"Engine serial number (Identifier, should be treated like a string)",float64
SUM_ENG_H,SUMMARY,YES,COUNT,Number of engine hours (while running),float64
V_ACC1,VIBRATION,,ACCELERATION,Reduction gearbox vibration acceleration,float64
V_D_3B,VIBRATION,,DISPLACEMENT,Bearing n vibration displacement at orientation B,float64
V_D_2B,VIBRATION,,DISPLACEMENT,Bearing n vibration displacement at orientation B,float64
V_D_1B,VIBRATION,,DISPLACEMENT,Bearing n vibration displacement at orientation B,float64
